Id del anuncio;Título;Tipo de inmueble;Tipo de vendedor;Habitaciones;Barrio;Municipio;Euros/m2;Metros cuadrados construidos;Obra nueva (Sí/No);Parking (Sí/No);Jardín (Sí/No);Precio
96520973;Piso en calle Conde de Toreno;Piso;Profesional;3;Parque San Francisco-Uría;Oviedo;2345;145;No;No;No;340000
99446228;Piso en calle Canga Argüelles, 23;Piso;Profesional;4;La Arena;Gijón;3398;103;No;No;No;350000
103662285;Piso en calle Pérez de la Sala;Piso;Profesional;3;Auditorio-Seminario-Parque de Invierno;Oviedo;2000;80;No;No;No;160000
107046070;Piso en calle Dionisio Ridruejo;Piso;Profesional;4;Auditorio-Seminario-Parque de Invierno;Oviedo;3302;106;No;Sí;No;350000
106895014;Piso en calle Corrida;Piso;Profesional;5;Centro - Puerto;Gijón;3279;183;No;No;No;600000
106861635;Chalet pareado en Lln-7;Chalet;Profesional;3;-;Llanes;3360;89;No;No;Sí;299000
106094535;Casa independiente en carretera de Mareo a Granda, 424;Chalet;Profesional;5;La Pedrera - Leorio - Huerces - Ruedes;Gijón;1968;559;No;Sí;Sí;1100000
107347923;Piso en calle Manuel García Conde;Piso;Profesional;3;Salesas-Foncalada-Campoamor;Oviedo;2944;90;No;No;No;265000
107444823;Piso en calle Ezcurdia;Piso;Profesional;3;La Arena;Gijón;2882;85;No;No;No;245000
103934841;Piso en calle Llano Ponte;Piso;Profesional;3;Milán-Pumarín;Oviedo;1739;92;No;Sí;No;160000
95363139;Casa independiente en carretera Piles al Infanzón;Chalet;Profesional;7;Somió;Gijón;1250;600;No;Sí;Sí;750000
107233719;Piso en calle Foncalada;Piso;Profesional;5;Salesas-Foncalada-Campoamor;Oviedo;1726;168;No;No;No;290000
105893780;Ático;Ático;Profesional;4;-;Llanes;5603;141;No;Sí;No;790000
95212119;Piso en calle Silla del Rey;Piso;Profesional;3;Masip;Oviedo;1579;76;No;No;No;120000
102049841;Casa independiente en calle Gregorio Marañon;Chalet;Profesional;5;Vallobín;Oviedo;1877;212;No;Sí;Sí;398000
107169546;Piso en calle Juan Escalante de Mendoza;Piso;Profesional;3;Santo Domingo-El Campillín;Oviedo;2385;96;No;Sí;No;229000
106745734;Piso en calle Magdalena;Piso;Profesional;6;Fontán;Oviedo;1194;180;No;No;No;215000
106390813;Piso en calle San Bernardo, 37;Piso;Profesional;4;Centro - Puerto;Gijón;2824;170;No;No;No;480000
107267380;Piso en calle Pintora Concha Mori;Piso;Profesional;3;Roces;Gijón;2283;92;No;Sí;No;210000
107186873;Piso en calle Jacinto Benavente, 8;Piso;Profesional;4;Masip;Oviedo;1913;104;No;Sí;No;199000
106249490;Piso en Enrique Martínez;Piso;Profesional;3;Centro - San Lorenzo;Gijón;2547;106;No;No;No;270000
105831128;Piso en Ezcurdia;Piso;Profesional;3;La Arena;Gijón;2749;80;No;No;No;219900
107411136;Piso en calle Santa Teresa de Jesús;Piso;Profesional;3;Llamaquique;Oviedo;2278;90;No;No;No;205000
106718432;Piso en calle Donato Argüelles;Piso;Profesional;4;Centro - Puerto;Gijón;3136;110;No;No;No;345000
106998152;Piso en calle Doctor Aquilino Hurlé;Piso;Profesional;4;La Arena;Gijón;2842;95;No;No;No;270000
106655517;Piso en calle Santa Teresa de Jesús;Piso;Profesional;3;Centro - Puerto;Gijón;2818;110;No;No;No;310000
107229881;Piso en calle Brasil;Piso;Profesional;3;La Calzada;Gijón;1625;88;No;No;No;143000
106638423;Piso en calle Fundición;Piso;Profesional;4;Centro - Puerto;Gijón;703;185;No;No;No;130000
105184853;Piso en calle Montes del Sueve;Piso;Profesional;3;Ciudad Naranco-Prados de La Fuente;Oviedo;1682;110;No;Sí;No;185000
105184853;Piso en calle Montes del Sueve;Piso;Profesional;3;Ciudad Naranco-Prados de La Fuente;Oviedo;1682;110;No;Sí;No;185000
105207351;Dúplex en calle Pelayo;Duplex;Profesional;4;Salesas-Foncalada-Campoamor;Oviedo;2791;179;No;No;No;499500
101176452;Piso en calle Doctor Alfredo Martínez;Piso;Profesional;5;Plaza de América;Oviedo;2273;165;No;No;No;375000
106934175;Piso en calle Dionisio Ridruejo;Piso;Profesional;4;Auditorio-Seminario-Parque de Invierno;Oviedo;3302;106;No;Sí;No;350000
107104911;Casa independiente en llosa del rio, 3;Chalet;Profesional;6;-;Siero;1947;303;No;Sí;Sí;590000
105706697;Piso en calle las Mestas;Piso;Profesional;6;El Bibio - Les Mestes;Gijón;3415;287;No;Sí;Sí;980000
105698204;Casa independiente en Lugar Posada;Chalet;Profesional;4;-;Llanes;2333;150;No;No;No;350000
106157922;Dúplex en calle Asturias;Duplex;Profesional;3;Parque San Francisco-Uría;Oviedo;3421;114;No;No;No;390000
106764026;Ático en Faustina Álvarez García, 2;Ático;Profesional;3;Nuevo Gijón;Gijón;3140;129;No;Sí;Sí;405000
104689447;Piso en calle Pérez de la Sala;Piso;Profesional;3;Auditorio-Seminario-Parque de Invierno;Oviedo;1327;98;No;Sí;No;130000
104963885;Casa independiente en Caserio la Vega, 38;Chalet;Profesional;5;-;Siero;1493;288;No;Sí;Sí;430000
107448673;Piso en avenida de la Costa;Piso;Profesional;3;Centro - Puerto;Gijón;3382;136;No;No;No;460000
106391686;Piso;Piso;Profesional;5;Casco Histórico;Oviedo;2174;207;No;No;No;450000
107086570;Piso en calle Valencia;Piso;Profesional;3;El Llano;Gijón;2349;83;No;Sí;No;195000
107195004;Casa independiente en Caserio Espiniella, 2;Chalet;Profesional;4;-;Siero;1475;244;No;Sí;No;360000
97215712;Piso en calle Candamo;Piso;Profesional;3;La Florida;Oviedo;2190;105;No;Sí;No;230000
