Id del anuncio;Tipo de inmueble;Tipo de vendedor;Barrio;Municipio;Distrito;Precio;Euros/m2;Metros cuadrados construidos;Habitaciones;Baños;Planta;Latitud;Longitud;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
29808549;Piso;Particular;Plaza de América;Oviedo;Centro-Casco Histórico;366000.0;2091.0;175.0;5.0;3.0;1;43,362815;-5,8565324;Sí;No;No;Sí;No;No;No;No;No
30224316;Piso;Particular;-;Tineo;-;125000.0;2083.0;60;2.0;1.0;3;43,3344008;-6,4086313;Sí;No;No;No;Sí;Sí;No;Sí;No
30321307;Piso;Particular;-;Lena;-;63000.0;1400.0;45;2.0;1.0;4;43,0114884;-5,7727361;No;No;No;No;Sí;Sí;No;No;No
31077512;Piso;Particular;-;Soto del Barco;-;122000.0;1743.0;70;2.0;1.0;3;43,5340545;-6,0692582;Sí;No;No;No;Sí;Sí;No;Sí;No
31422676;Piso;Particular;-;Avilés;Llaranes;110000.0;1571.0;70;3.0;1.0;1;43,549177;-5,901005;No;No;No;No;No;No;No;No;Sí
31562678;Piso;Particular;-;San Martín del Rey Aurelio;-;100000.0;1064.0;94;3.0;2.0;1;43,28737;-5,63632;Sí;No;No;Sí;No;No;No;Sí;No
32165528;Duplex;Particular;-;Pravia;-;93000.0;1224.0;76;1.0;2.0;4;43,4888947;-6,1104713;Sí;No;No;No;No;No;No;Sí;No
32245312;Piso;Particular;-;Tineo;-;55000.0;1038.0;53;2.0;1.0;3;43,4045955;-6,5431391;No;No;No;No;No;No;No;Sí;No
32390951;Piso;Particular;-;Langreo;Sama;80000.0;611.0;131;4.0;2.0;5;43,293825;-5,6822705;Sí;No;No;No;No;No;No;No;No
32612536;Piso;Particular;-;Carreño;-;160000.0;2000.0;80.0;3.0;1.0;4;43,58654;-5,76801;Sí;No;No;No;No;No;No;Sí;Sí
32628000;Piso;Particular;-;Avilés;Versalles;69000.0;821.0;84;3.0;1.0;3;43,5458518;-5,9183937;No;No;No;No;No;No;No;No;Sí
32733538;Piso;Particular;-;Langreo;La Felguera;35000.0;500.0;70;2.0;1.0;5;43,30868;-5,694538;No;No;No;No;No;No;No;Sí;No
32865055;Piso;Particular;-;Teverga;-;58000.0;725.0;80;4.0;1.0;2;43,1616193;-6,0972251;No;No;No;No;No;No;No;No;No
33446712;Duplex;Particular;-;Langreo;La Felguera;78000.0;975.0;80;2.0;2.0;1;43,3112601;-5,6955354;Sí;No;No;No;Sí;No;No;Sí;No
33535102;Piso;Particular;-;Avilés;El Carbayedo - El Quirinal;115000.0;1597.0;72;3.0;1.0;2;43,5421901;-5,946104;No;No;No;Sí;Sí;Sí;No;No;No
33773024;Piso;Particular;-;Villaviciosa;Villaviciosa;90000.0;1125.0;80;3.0;1.0;4;43,479818;-5,4380217;Sí;No;No;No;No;No;No;No;No
34196713;Piso;Profesional;Salesas-Foncalada-Campoamor;Oviedo;Centro-Casco Histórico;208000.0;2311.0;90.0;3.0;2.0;4;43,3624738;-5,8496903;Sí;No;No;Sí;No;No;No;No;No
34296099;Ático;Particular;Salesas-Foncalada-Campoamor;Oviedo;Centro-Casco Histórico;465000.0;3875.0;120.0;4.0;2.0;5;43,3661587;-5,8536382;Sí;No;No;No;Sí;Sí;No;No;No
34313506;Piso;Particular;-;Cangas de Onís;-;120000.0;1101.0;109;3.0;2.0;3;43,3482315;-5,1302073;No;No;No;No;No;No;No;Sí;No
34433571;Duplex;Particular;-;Lena;-;170000.0;944.0;180.0;3.0;2.0;4;43,1543586;-5,826666;Sí;No;No;No;Sí;No;No;No;No
34564463;Piso;Particular;-;Salas;-;70000.0;824.0;85;3.0;1.0;2;43,4077603;-6,2561963;No;No;No;No;No;No;No;No;No
34665137;Duplex;Particular;-;Mieres del Camino;La Villa - Bazuelo;94900.0;949.0;100;2.0;2.0;2;43,2450039;-5,7728484;No;No;No;No;No;No;No;Sí;No
34667954;Piso;Particular;-;Avilés;El Pozón - Villalegre - La Luz;74500.0;1112.0;67;2.0;1.0;3;43,5355436;-5,9118934;No;No;No;No;No;No;No;No;No
34714091;Ático;Particular;-;Siero;Lugones;215000.0;2416.0;89.0;2.0;2.0;4;43,3988774;-5,8124723;Sí;No;No;Sí;Sí;Sí;No;Sí;Sí
34841956;Piso;Particular;-;Tapia de Casariego;-;125000.0;1689.0;74;4.0;1.0;1;43,5682904;-6,9436513;No;No;No;Sí;No;No;No;No;No
34871673;Piso;Particular;-;Aller;-;25000.0;431.0;58;2.0;1.0;4;43,16515;-5,67633;No;No;No;Sí;No;No;No;Sí;No
35001543;Piso;Particular;-;Siero;Parroquias Norte;87000.0;1813.0;48;1.0;1.0;3;43,397533;-5,5907321;Sí;No;No;No;Sí;Sí;No;Sí;Sí
35066421;Piso;Particular;-;Tineo;-;108000.0;900.0;120;6.0;1.0;3;43,3343326;-6,411729;Sí;No;No;Sí;No;No;No;No;No
35511066;Ático;Particular;-;Ribadedeva;-;121000.0;3103.0;39;1.0;1.0;2;43,3743184;-4,5408064;No;No;Sí;No;No;No;No;No;Sí
35773941;Piso;Profesional;-;Laviana;-;210000.0;1167.0;180.0;3.0;2.0;1;43,2472923;-5,5639462;No;No;No;No;No;No;No;No;No
35908335;Piso;Particular;-;Vegadeo;-;135000.0;1421.0;95;3.0;2.0;2;43,4654405;-7,053324;Sí;No;No;No;No;No;No;Sí;No
35962073;Piso;Particular;-;San Martín del Rey Aurelio;-;50000.0;694.0;72;2.0;1.0;5;43,2698526;-5,5900663;Sí;No;No;No;Sí;No;No;Sí;No
36120509;Piso;Particular;-;Aller;-;50000.0;769.0;65;3.0;1.0;3;43,1662104;-5,7380873;No;No;No;No;No;No;No;Sí;No
36237831;Piso;Particular;-;Pravia;-;55000.0;688.0;80;3.0;1.0;3;43,48996;-6,1125999;No;No;No;Sí;No;No;No;No;No
36312333;Piso;Particular;-;Pravia;-;60000.0;667.0;90;3.0;1.0;5;43,48996;-6,1125999;No;No;No;No;No;No;No;No;No
36322213;Piso;Particular;Vallobín;Oviedo;Ciudad Naranco-Vallobín-La Florida;215000.0;2986.0;72.0;2.0;2.0;4;43,36922;-5,86814;Sí;No;No;No;Sí;Sí;No;Sí;No
36322213;Piso;Particular;Vallobín;Oviedo;Ciudad Naranco-Vallobín-La Florida;215000.0;2986.0;72.0;2.0;2.0;4;43,36922;-5,86814;Sí;No;No;No;Sí;Sí;No;Sí;No
36424775;Piso;Particular;-;Vegadeo;-;145000.0;1261.0;115;4.0;2.0;5;43,4624959;-7,051103;Sí;No;No;No;No;No;No;Sí;No
36656070;Duplex;Profesional;Cimadevilla;Gijón;Centro;299000.0;2848.0;105.0;2.0;2.0;2;43,5454174;-5,6627395;No;No;No;No;No;No;No;Sí;No
36929601;Piso;Profesional;-;Avilés;Centro;145000.0;1036.0;140;4.0;2.0;1;43,5548202;-5,9208456;No;No;No;Sí;No;No;No;Sí;No
36974986;Piso;Particular;-;Laviana;-;55000.0;611.0;90;3.0;1.0;4;43,2491239;-5,5633656;No;No;No;Sí;No;No;No;Sí;No
37164661;Piso;Particular;-;Aller;-;82000.0;781.0;105;4.0;2.0;3;43,123406;-5,5629161;No;No;No;Sí;No;No;No;Sí;No
37799102;Piso;Particular;-;Oviedo;La Manjoya-Parroquias Sur;36000.0;468.0;77;3.0;1.0;2;43,3330156;-5,7711019;Sí;No;No;No;No;No;No;No;No
38227126;Piso;Particular;-;Langreo;Sama;120000.0;1200.0;100;3.0;2.0;2;43,2975783;-5,6840709;Sí;No;No;Sí;No;No;No;Sí;No
38516546;Piso;Profesional;Parque San Francisco-Uría;Oviedo;Centro-Casco Histórico;690000.0;2518.0;274.0;4.0;2.0;4;43,3633845;-5,8505696;Sí;No;No;Sí;No;No;No;No;No
38608193;Piso;Profesional;-;Lena;-;79000.0;681.0;116;3.0;2.0;4;43,1546735;-5,8266528;Sí;No;No;Sí;No;No;No;Sí;No
38721050;Piso;Particular;-;Tineo;-;49500.0;707.0;70;3.0;1.0;3;43,3338577;-6,4159599;No;No;No;Sí;No;No;No;No;No
38774507;Piso;Particular;Milán-Pumarín;Oviedo;Corredoria-Huca-Teatinos;150000.0;3061.0;49.0;1.0;1.0;2;43,3698179;-5,8489673;Sí;No;No;Sí;Sí;Sí;No;No;Sí
38774507;Piso;Particular;Milán-Pumarín;Oviedo;Corredoria-Huca-Teatinos;150000.0;3061.0;49.0;1.0;1.0;2;43,3698179;-5,8489673;Sí;No;No;Sí;Sí;Sí;No;No;Sí
39138329;Piso;Particular;-;Vegadeo;-;102000.0;1020.0;100;3.0;2.0;3;43,464615;-7,0479847;Sí;No;No;No;No;No;Sí;Sí;No
39259673;Piso;Profesional;HUCA-La Cadellada;Oviedo;Corredoria-Huca-Teatinos;75000.0;1250.0;60;2.0;1.0;3;43,3753281;-5,8378686;No;No;No;No;No;No;No;No;Sí
39300607;Piso;Particular;-;El Franco;-;110000.0;1467.0;75;2.0;1.0;1;43,5521;-6,83109;No;No;No;No;Sí;Sí;No;No;No
39312463;Piso;Particular;-;Pravia;-;95000.0;922.0;103;4.0;2.0;1;43,4886358;-6,1133391;Sí;No;No;Sí;Sí;Sí;No;Sí;No
39504044;Piso;Particular;Salesas-Foncalada-Campoamor;Oviedo;Centro-Casco Histórico;170000.0;1560.0;109.0;3.0;2.0;1;43,365701;-5,8507882;No;No;No;No;No;No;No;No;No
39552965;Piso;Profesional;-;Villaviciosa;Villaviciosa;120000.0;1379.0;87;3.0;2.0;2;43,4836809;-5,4314003;No;No;No;No;No;No;No;No;No
39630040;Piso;Profesional;Milán-Pumarín;Oviedo;Corredoria-Huca-Teatinos;75000.0;1250.0;60;1.0;1.0;3;43,3733522;-5,8423374;No;No;No;No;No;No;No;No;No
39630044;Piso;Profesional;Milán-Pumarín;Oviedo;Corredoria-Huca-Teatinos;86000.0;1387.0;62;1.0;1.0;4;43,3686093;-5,8454188;Sí;No;No;No;No;No;No;No;No
39630064;Piso;Profesional;Auditorio-Seminario-Parque de Invierno;Oviedo;Centro-Casco Histórico;116000.0;2417.0;48;1.0;1.0;5;43,357783;-5,8492962;Sí;No;No;No;Sí;Sí;No;No;Sí
39680906;Piso;Particular;Nuevo Gijón;Gijón;Sur;189900.0;2713.0;70.0;2.0;2.0;1;43,52262;-5,68465;Sí;No;No;No;Sí;Sí;No;Sí;No
39704978;Piso;Particular;-;San Martín del Rey Aurelio;-;90000.0;900.0;100;3.0;2.0;3;43,274524;-5,6047433;Sí;No;No;No;No;No;No;Sí;No
39752688;Piso;Profesional;-;Oviedo;San Claudio-Trubia-Las Caldas;56000.0;824.0;68;2.0;1.0;2;43,3513825;-5,9639717;No;No;No;No;No;No;No;No;No
39861720;Piso;Particular;-;Pravia;-;95000.0;950.0;100;3.0;2.0;1;43,4873413;-6,1108463;Sí;No;No;Sí;No;No;No;Sí;No
39951030;Piso;Particular;-;Lena;-;75000.0;750.0;100;3.0;1.0;1;43,1600275;-5,8281031;No;No;No;Sí;Sí;Sí;Sí;Sí;No
39975616;Piso;Particular;-;Avilés;Jardín de Cantos - El Nodo;89000.0;1369.0;65;3.0;1.0;1;43,56922;-5,92701;No;No;No;No;No;No;No;Sí;No
39983858;Piso;Particular;-;Langreo;La Felguera;75000.0;882.0;85;3.0;1.0;1;43,3084506;-5,6950472;Sí;No;No;No;No;No;No;Sí;No
40162055;Piso;Particular;-;Infiesto;-;125000.0;1389.0;90;3.0;2.0;1;43,3499555;-5,3643164;Sí;No;No;No;Sí;No;No;Sí;No
81216716;Piso;Particular;-;San Martín del Rey Aurelio;-;40000.0;388.0;103;3.0;1.0;4;43,2879306;-5,6334802;Sí;No;No;No;No;No;No;No;No
81239865;Piso;Particular;Buenavista;Oviedo;Buenavista-Ería-Montecerrao;135000.0;2500.0;54;1.0;1.0;9;43,3594431;-5,8636593;Sí;No;No;No;No;No;No;No;No
81262776;Piso;Particular;HUCA-La Cadellada;Oviedo;Corredoria-Huca-Teatinos;110000.0;1222.0;90;3.0;1.0;4;43,3732062;-5,8244284;No;No;No;No;No;No;No;No;Sí
81375696;Piso;Particular;Parque San Francisco-Uría;Oviedo;Centro-Casco Histórico;330000.0;2705.0;122.0;2.0;2.0;1;43,3601151;-5,8483663;Sí;No;No;No;No;No;No;Sí;No
